Address,Rank,Size,Symbol,Tag
0x001029E0,U,000004,_ZN2nn3dbg11PrintResultENS_6ResultE,
0x001029E4,U,000264,_ZN2nn3srv35_GLOBAL__N__11_srv_Api_cpp_bb32e4e216DispatcherThreadEv,
0x00102AF8,U,000052,_ZN2nn3srv6detail7Service14RegisterClientEv,
0x00102B34,U,000056,_ZN2nn3srv6detail7Service18EnableNotificationEPNS_6HandleE,
0x00102B70,U,000016,_ZN2nn5gxlow3CTR13SetAppletModeEv,
0x00102B84,U,000052,_ZN2nn6applet3CTR15CloseAppletHookEv,
0x00102BBC,U,000140,_ZN2nn6applet3CTR17InitializeWrapperEv,
0x00102C50,U,000100,_ZN2nn6applet3CTR6detail10ThreadFuncEi,
0x00103058,U,000012,_ZN2nn6applet3CTR6detail21CloseApplication_Func11PrepareCoreEv,
0x00103068,U,000020,_ZN2nn6applet3CTR6detail21CloseApplication_Func9CloseCoreEv,
0x00103080,U,000076,_ZN2nn6applet3CTR6detail6APPLET10InitializeEjjPNS_6HandleES5_,
0x001030D4,U,000084,_ZN2nn6applet3CTR6detail6APPLET13GetLockHandleEPNS_6HandleEjPjS6_,
0x00103130,U,000048,_ZN2nn6applet3CTR6detail6APPLET6EnableEj,
0x00103168,U,000084,_ZN4sead11ResourceMgr14createInstanceEPNS_4HeapE,
0x001031C4,U,000452,_ZN4sead11ResourceMgr20registerDecompressorEPNS_12DecompressorERKNS_14SafeStringBaseIcEE,
0x0010338C,U,000256,_ZN4sead13FileDeviceMgr14createInstanceEPNS_4HeapE,
0x0010349C,U,000664,_ZN4sead19PrimitiveDrawMgrNvnC2Ev,
0x00103738,U,000168,_ZN4sead9Framework10initializeERKNS0_13InitializeArgE,
0x001037FC,U,000060,_ZN8RootTaskC1ERKN4sead16TaskConstructArgE,
0x00103850,U,000016,_ZN2nn2os6Thread8TypeInfo4CopyIPFvvES5_EEvPKvPv,
0x00103860,U,000016,_ZN2nn2os6Thread8TypeInfo4CopyIiiEEvPKvPv,
0x00103870,U,000012,_ZN2nn2os6Thread8TypeInfo6InvokeIPFvvEEEvPFvjEPKv,
0x0010387C,U,000012,_ZN2nn2os6Thread8TypeInfo6InvokeIiEEvPFvjEPKv,
