Start,     Pool,      End,       Section,   Rank,Type,Symbol
0x002DA370,          ,0x002DA384,          ,U,f,
0x002DA384,          ,0x002DA3B0,          ,U,f,_ZN4sead11WriteStream8writeS16Es
0x002DA3B0,          ,0x002DA3DC,          ,U,f,_ZN4sead11WriteStream8writeS32Ei
0x002DA3DC,          ,0x002DA408,          ,U,f,
0x002DA408,          ,0x002DA40C,          ,U,f,
0x002DA40C,          ,0x002DA434,          ,U,f,_ZN4sead12CalendarTime7setDateERKNS0_4DateE
0x002DA434,          ,0x002DA4A8,          ,U,f,_ZN4sead12CalendarTimeC2ERKN2nn3fnd18DateTimeParametersE
0x002DA4A8,          ,0x002DA504,          ,U,f,_ZN4sead12CalendarTimeC1ERKNS0_4YearERKNS0_5MonthERKNS0_3DayERKNS0_4HourERKNS0_6MinuteERKNS0_6SecondE
0x002DA504,0x002DA604,0x002DA60C,          ,U,f,
0x002DA60C,0x002DA6D8,0x002DA6E0,          ,U,f,
0x002DA6E0,0x002DA710,0x002DA718,          ,U,f,
0x002DA718,0x002DA744,0x002DA74C,          ,U,f,
0x002DA74C,          ,0x002DA774,          ,U,f,
0x002DA774,          ,0x002DA7A0,          ,U,f,_ZN4sead12MessageQueue4freeEv
0x002DA7A0,          ,0x002DA7E8,          ,U,f,_ZN4sead12MessageQueueD1Ev
0x002DA7E8,          ,0x002DA834,          ,U,f,
0x002DA834,          ,0x002DA880,          ,U,f,_ZN4sead12RamStreamSrc4readEPvj
0x002DA880,          ,0x002DA8C4,          ,U,f,
0x002DA8C4,          ,0x002DA908,          ,U,f,_ZN4sead12RamStreamSrc5writeEPKvj
0x002DA908,          ,0x002DA914,          ,U,f,
0x002DA914,          ,0x002DA928,          ,U,f,
0x002DA928,0x002DAA18,0x002DAA24,          ,U,f,
0x002DAA24,          ,0x002DAA30,          ,U,f,
0x002DAA30,          ,0x002DAA54,          ,U,f,
0x002DAA54,          ,0x002DAA70,          ,U,f,
0x002DAA70,          ,0x002DAA9C,          ,U,f,
0x002DAA9C,0x002DAAFC,0x002DAB00,          ,U,f,
0x002DAB00,          ,0x002DAB04,          ,U,f,
0x002DAB04,          ,0x002DAB0C,          ,U,f,
0x002DAB0C,0x002DAB1C,0x002DAB20,          ,U,f,
0x002DAB20,          ,0x002DAB24,          ,U,f,
0x002DAB24,          ,0x002DABB0,          ,U,f,
0x002DABB0,          ,0x002DABB4,          ,U,f,
0x002DABB4,          ,0x002DABB8,          ,U,f,
0x002DABB8,          ,0x002DABC8,          ,U,f,
0x002DABC8,          ,0x002DABCC,          ,U,f,
0x002DABCC,          ,0x002DABD0,          ,U,f,
0x002DABD0,0x002DACD8,0x002DACF4,          ,U,f,_ZN4sead13CalculateTaskC2ERKNS_16TaskConstructArgEPKc
0x002DACF4,0x002DAD28,0x002DAD30,          ,U,f,
0x002DAD30,0x002DAD50,0x002DAD54,          ,U,f,
0x002DAD54,          ,0x002DADCC,          ,U,f,
0x002DADCC,0x002DAF60,0x002DAF70,          ,U,f,
0x002DAF70,0x002DAFC0,0x002DAFD8,          ,U,f,_ZN4sead13ControllerMgrC2ERKNS_16TaskConstructArgE
0x002DAFD8,0x002DB000,0x002DB008,          ,U,f,
0x002DB008,0x002DB264,0x002DB26C,          ,U,f,
0x002DB26C,0x002DB294,0x002DB298,          ,U,f,
0x002DB298,          ,0x002DB2A8,          ,U,f,
0x002DB2A8,          ,0x002DB2AC,          ,U,f,
0x002DB2AC,          ,0x002DB2B0,          ,U,f,
0x002DB2B0,          ,0x002DB2DC,          ,U,f,
0x002DB2DC,          ,0x002DB344,          ,U,f,_ZN4sead13FaderTaskBase14attachCalcImplEv
0x002DB344,          ,0x002DB34C,          ,U,f,
0x002DB34C,0x002DB424,0x002DB428,          ,U,f,
0x002DB428,          ,0x002DB43C,          ,U,f,
0x002DB43C,0x002DB550,0x002DB558,          ,U,f,
